epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9376,1.62787,5.26231,1.51276,0.64289,0.50973,0.55381,0.30927,1.50607,3.79457,1.46843,0.001992,0.001992,0.001992
2,68.1655,1.4614,3.47051,1.36256,0.67635,0.57052,0.60666,0.33992,1.50922,3.16531,1.41687,0.00398002,0.00398002,0.00398002
3,99.721,1.45076,3.04543,1.33615,0.68337,0.58537,0.62887,0.35263,1.54525,3.07272,1.47091,0.00595605,0.00595605,0.00595605
4,130.689,1.46964,2.87093,1.35104,0.62621,0.52174,0.55964,0.30622,1.63051,3.29911,1.47768,0.00792007,0.00792007,0.00792007
5,161.54,1.50195,2.8887,1.37207,0.67696,0.53334,0.57899,0.3242,1.61608,3.26352,1.53173,0.0098721,0.0098721,0.0098721
6,191.577,1.54167,2.90771,1.41491,0.72354,0.56098,0.64866,0.36545,1.60348,2.82304,1.50563,0.00985,0.00985,0.00985
7,222.337,1.52326,2.76043,1.39401,0.70058,0.62036,0.65003,0.35659,1.6169,2.80711,1.49883,0.00982,0.00982,0.00982
8,256.812,1.49929,2.67071,1.37524,0.66157,0.57476,0.61264,0.32802,1.64252,3.49936,1.51458,0.00979,0.00979,0.00979
9,290.59,1.47622,2.52014,1.3622,0.70936,0.58537,0.63753,0.35591,1.60286,2.96137,1.50786,0.00976,0.00976,0.00976
10,330.269,1.46386,2.47501,1.35145,0.71662,0.58537,0.64926,0.36549,1.56041,2.88333,1.47568,0.00973,0.00973,0.00973
11,373.301,1.43994,2.40894,1.35224,0.73725,0.61294,0.68779,0.39907,1.50669,2.71109,1.4434,0.0097,0.0097,0.0097
12,407.045,1.41081,2.29169,1.32423,0.7092,0.56734,0.6079,0.34196,1.62952,3.22947,1.51171,0.00967,0.00967,0.00967
13,440.523,1.41661,2.29879,1.32278,0.75323,0.64091,0.69779,0.4063,1.54086,2.51429,1.46535,0.00964,0.00964,0.00964
14,473.552,1.39568,2.21198,1.31866,0.76167,0.66172,0.72248,0.42475,1.52734,2.41278,1.446,0.00961,0.00961,0.00961
15,507.487,1.38098,2.17451,1.31072,0.7869,0.66066,0.7406,0.44763,1.46407,2.31325,1.41656,0.00958,0.00958,0.00958
16,541.157,1.35789,2.06752,1.28689,0.73788,0.6246,0.70631,0.42342,1.50195,2.50498,1.43529,0.00955,0.00955,0.00955
17,574.704,1.34239,2.09135,1.27721,0.76138,0.66702,0.73852,0.44276,1.46473,2.33889,1.39594,0.00952,0.00952,0.00952
18,608.333,1.34225,2.03129,1.27997,0.78444,0.65604,0.73446,0.44659,1.4501,2.31238,1.37256,0.00949,0.00949,0.00949
19,642.268,1.3239,1.94842,1.26272,0.75078,0.68081,0.75128,0.45301,1.45839,2.23609,1.40763,0.00946,0.00946,0.00946
20,676.934,1.30077,1.91865,1.25111,0.78201,0.70378,0.76429,0.47274,1.42954,2.21626,1.37876,0.00943,0.00943,0.00943
